지역별(2),2015.10,2015.11,2015.12,2016.01,2016.02,2016.03,2016.04,2016.05,2016.06,2016.07,2016.08,2016.09,2016.10,2016.11,2016.12,2017.01,2017.02,2017.03,2017.04,2017.05,2017.06,2017.07,2017.08,2017.09,2017.10,2017.11,2017.12,2018.01,2018.02,2018.03,2018.04,2018.05,2018.06,2018.07,2018.08,2018.09,2018.10,2018.11,2018.12,2019.01,2019.02,2019.03,2019.04,2019.05,2019.06,2019.07,2019.08,2019.09,2019.10,2019.11,2019.12,2020.01,2020.02,2020.03,2020.04,2020.05,2020.06,2020.07,2020.08,2020.09,2020.10,2020.11,2020.12,2021.01,2021.02,2021.03,2021.04,2021.05,2021.06,2021.07,2021.08,2021.09,2021.10,2021.11,2021.12,2022.01,2022.02,2022.03,2022.04,2022.05,2022.06,2022.07,2022.08,2022.09,2022.10,2022.11,2022.12,2023.01,2023.02,2023.03,2023.04,2023.05,2023.06
전국,"65,881","51,933","20,738","11,331","11,887","24,872","31,077","38,924","36,893","21,505","23,583","27,967","34,917","27,824","22,820","2,004","13,863","13,459","8,356","12,210","28,446","12,364","19,308","11,785","14,605","24,867","20,383","10,891","5,700","18,896","19,841","22,434","13,009","8,342","7,098","8,989","17,521","10,795","13,968","8,108","7,800","13,452","10,607","20,518","18,390","13,606","16,282","6,636","24,121","16,780","16,359","2,106","8,106","8,999","12,980","27,803","18,161","43,629","16,314","14,100","17,553","23,964","32,371","8,223","14,982","20,344","17,280","13,152","21,693","14,248","11,378","15,172","17,840","30,984","33,221","15,625","12,888","12,163","10,622","15,497","11,114","14,803","14,342","15,696","21,779","23,640","11,304","2,080","6,717","6,833","9,243","7,213","14,436"
수도권,"35,020","26,407","6,560",482,"2,920","13,043","9,877","19,015","17,116","14,317","10,988","17,403","17,920","12,279","9,971",720,"7,335","3,677",963,"10,004","18,742","6,030","7,917","5,442","8,138","5,474","8,161","3,077","3,609","13,782","7,250","11,171","7,554","2,790","2,188","1,371","8,488","7,228","9,946","2,256","4,920","6,776","5,443","9,661","10,758","4,277","9,593","2,270","11,113","9,129","9,901","1,795","5,013","5,364","6,161","15,034","10,746","19,973","9,382","4,799","9,536","10,037","15,152","5,485","7,422","3,325","7,299","5,597","8,664","3,084","5,003","7,462","6,113","10,285","9,109","5,984","7,751","7,961","2,488","5,441","4,275","4,317","2,380","5,386","6,555","15,292","4,056","1,889","3,832","3,271","4,753","3,674","7,191"
서울,"2,122","2,674",926,482,762,"1,276",839,710,"1,916",268,"1,363","3,631","1,667","2,269","1,077",104,460,468,313,"1,610","4,086","1,896",807,"1,867","3,952","1,369",337,41,"2,415",649,149,"1,174","2,306",0,383,132,232,"1,017",356,730,"1,009","1,881","1,449","1,794","2,631",426,432,714,367,843,"1,057",0,67,242,"1,100",573,993,"10,807",0,0,102,99,"1,178",234,831,55,281,360,48,86,349,593,77,202,60,433,424,464,0,0,148,114,231,0,0,"6,690",219,0,775,738,235,92,986
인천,"5,412",376,298,0,418,380,0,"1,034",674,"2,718","1,534","2,591",889,0,"1,357",0,"3,146",0,0,"1,882","4,013",127,"2,148",0,0,0,0,88,0,"2,348",0,684,616,0,420,0,"5,242","1,284","2,365","1,238","1,691","3,655",0,"1,971","1,380",0,"1,215",0,"7,308","4,828","5,710",0,"1,950","2,530",96,"6,828","3,139","2,154",0,354,0,0,"6,312","1,409",977,104,"2,848","1,772",153,812,"1,009",0,"1,891","3,725","2,373","1,114","1,786","2,455",162,767,"1,170","1,326",875,474,"1,285",670,485,770,"1,049",868,0,856,"1,370"
경기,"27,486","23,357","5,336",0,"1,740","11,387","9,038","17,271","14,526","11,331","8,091","11,181","15,364","10,010","7,537",616,"3,729","3,209",650,"6,512","10,643","4,007","4,962","3,575","4,186","4,105","7,824","2,948","1,194","10,785","7,101","9,313","4,632","2,790","1,385","1,239","3,014","4,927","7,225",288,"2,220","1,240","3,994","5,896","6,747","3,851","7,946","1,556","3,438","3,458","3,134","1,795","2,996","2,592","4,965","7,633","6,614","7,012","9,382","4,445","9,434","9,938","7,662","3,842","5,614","3,166","4,170","3,465","8,463","2,186","3,645","6,869","4,145","6,358","6,676","4,437","5,541","5,042","2,326","4,674","2,957","2,877","1,274","4,912","5,270","7,932","3,352","1,119","2,008","1,665","4,518","2,726","4,835"
소계,"7,766","8,773","3,522",816,"1,171","4,062","8,299","3,394","3,463","2,614","3,628","3,446","5,128","5,385","6,923",0,"2,516","2,589","1,635",576,"2,054","2,287","2,122","3,822","4,990","6,010","5,898","1,430",527,"1,777","6,606","4,737","2,254","2,908","1,817","5,272","6,313","1,294","3,123","3,065",0,"3,181","1,490","7,945","5,579","5,728","2,975","2,763","6,782","4,433","5,030",0,"1,287",566,"4,504","9,927","2,025","14,057","2,447","4,749","2,484","3,053","4,325","2,166","3,190","4,497","1,868","1,543","4,878","2,377","1,355","1,875","2,709","2,378","8,193","1,957","2,424","1,596",970,399,"2,026","4,667",562,248,"4,494","3,505","2,153",191,"1,803","2,655","1,423","2,752","2,382"
부산,"2,650","1,211",381,210,845,"1,557","1,104","2,882","1,335",621,855,117,"1,191",980,"2,179",0,932,382,0,264,511,"1,637","1,372","2,936","2,836","3,647",0,0,0,834,548,"2,342",469,471,"1,620","3,345","2,310",160,0,0,0,256,0,"2,327","2,216",640,613,"1,532","2,683","1,502",515,0,631,0,"1,214","2,334",224,"4,554",0,0,210,0,"1,301",105,0,0,0,219,656,0,456,0,"1,190",144,"2,522",0,544,725,102,0,0,0,0,0,0,116,0,0,886,"2,384","1,423",972,"2,382"
대구,144,"2,179","1,583",305,262,"2,045",206,0,610,"1,993",698,0,0,774,0,0,0,0,745,0,617,0,0,333,0,603,627,283,527,943,"1,773","2,395","1,653","1,893",197,"1,791","1,533",962,"2,063","2,555",0,881,969,"4,321","1,985","1,576",695,302,"2,023","1,211","2,765",0,656,566,"1,844","2,940",511,"9,016",481,"1,124","1,816","1,613","2,032",270,"2,702","3,360",450,608,"3,309",978,526,941,"1,060","1,849","2,883",0,"1,880",424,69,178,440,"3,318",99,117,"1,501",105,481,0,0,0,0,0,0
광주,134,476,709,301,64,460,"2,072",512,745,0,"1,527",755,0,"1,390",591,0,76,"2,207",218,312,506,0,460,553,"1,739","1,760",0,388,0,0,0,0,132,544,0,0,713,172,"1,060",68,0,0,56,"1,297",558,"2,416",851,0,0,"1,720","1,634",0,0,0,97,"1,011",995,0,0,"1,779",0,315,992,305,70,213,0,103,294,49,373,0,155,385,418,196,0,0,0,0,0,0,161,131,0,238,0,191,917,176,0,"1,428",0
